G.STA. CLAR,"A, SON","(31 42 N, 114 30 W)"
Fecha Inici,al: 2018/0,01-ene
Fecha Final,:   2018/1,ene-13
Zona de Tie,mpo: 0,
Intervalo d,e Muestreo,: 60 minuto(s)
Nivel de Re,ferencia:,Bajamar Media Inferior (NBMI)
Alturas en,metros,
18/01/2018,07 00 00,3.173
18/01/2018,08 00 00,4.471
18/01/2018,09 00 00,5.332
18/01/2018,10 00 00,5.565
18/01/2018,11 00 00,5.136
18/01/2018,12 00 00,4.171
18/01/2018,13 00 00,2.923
18/01/2018,14 00 00,1.714
18/01/2018,15 00 00,0.848
18/01/2018,16 00 00,0.54
18/01/2018,17 00 00,0.853
18/01/2018,18 00 00,1.689
18/01/2018,19 00 00,2.807
18/01/2018,20 00 00,3.887
18/01/2018,21 00 00,4.617
18/01/2018,22 00 00,4.778
18/01/2018,23 00 00,4.303
19/01/2018,00 00 00,3.298
19/01/2018,01 00 00,2.014
19/01/2018,02 00 00,0.786
19/01/2018,03 00 00,-0.065
19/01/2018,04 00 00,-0.308
19/01/2018,05 00 00,0.133
19/01/2018,06 00 00,1.163
19/01/2018,07 00 00,2.539
19/01/2018,08 00 00,3.937
19/01/2018,09 00 00,5.031
19/01/2018,10 00 00,5.572
19/01/2018,11 00 00,5.449
19/01/2018,12 00 00,4.716
19/01/2018,13 00 00,3.57
19/01/2018,14 00 00,2.307
19/01/2018,15 00 00,1.244
19/01/2018,16 00 00,0.645
19/01/2018,17 00 00,0.648
19/01/2018,18 00 00,1.236
19/01/2018,19 00 00,2.237
19/01/2018,20 00 00,3.369
19/01/2018,21 00 00,4.311
19/01/2018,22 00 00,4.793
19/01/2018,23 00 00,4.667
20/01/2018,00 00 00,3.945
20/01/2018,01 00 00,2.805
20/01/2018,02 00 00,1.538
20/01/2018,03 00 00,0.475
20/01/2018,04 00 00,-0.103
20/01/2018,05 00 00,-0.037
20/01/2018,06 00 00,0.667
20/01/2018,07 00 00,1.843
20/01/2018,08 00 00,3.21
20/01/2018,09 00 00,4.444
20/01/2018,10 00 00,5.257
20/01/2018,11 00 00,5.471
20/01/2018,12 00 00,5.053
20/01/2018,13 00 00,4.126
20/01/2018,14 00 00,2.931
20/01/2018,15 00 00,1.769
20/01/2018,16 00 00,0.924
20/01/2018,17 00 00,0.598
20/01/2018,18 00 00,0.857
20/01/2018,19 00 00,1.615
20/01/2018,20 00 00,2.658
20/01/2018,21 00 00,3.696
20/01/2018,22 00 00,4.442
20/01/2018,23 00 00,4.681
21/01/2018,00 00 00,4.336
21/01/2018,01 00 00,3.487
21/01/2018,02 00 00,2.348
21/01/2018,03 00 00,1.215
21/01/2018,04 00 00,0.385
21/01/2018,05 00 00,0.079
21/01/2018,06 00 00,0.382
21/01/2018,07 00 00,1.224
21/01/2018,08 00 00,2.402
21/01/2018,09 00 00,3.63
21/01/2018,10 00 00,4.618
21/01/2018,11 00 00,5.137
21/01/2018,12 00 00,5.079
21/01/2018,13 00 00,4.476
21/01/2018,14 00 00,3.49
21/01/2018,15 00 00,2.37
21/01/2018,16 00 00,1.388
21/01/2018,17 00 00,0.778
21/01/2018,18 00 00,0.675
21/01/2018,19 00 00,1.086
21/01/2018,20 00 00,1.889
21/01/2018,21 00 00,2.861
21/01/2018,22 00 00,3.739
21/01/2018,23 00 00,4.282
22/01/2018,00 00 00,4.34
22/01/2018,01 00 00,3.891
22/01/2018,02 00 00,3.049
22/01/2018,03 00 00,2.033
22/01/2018,04 00 00,1.108
22/01/2018,05 00 00,0.519
22/01/2018,06 00 00,0.422
22/01/2018,07 00 00,0.844
22/01/2018,08 00 00,1.682
22/01/2018,09 00 00,2.73
22/01/2018,10 00 00,3.733
22/01/2018,11 00 00,4.453
22/01/2018,12 00 00,4.727
22/01/2018,13 00 00,4.504
22/01/2018,14 00 00,3.85
22/01/2018,15 00 00,2.933
22/01/2018,16 00 00,1.973
22/01/2018,17 00 00,1.197
22/01/2018,18 00 00,0.78
22/01/2018,19 00 00,0.806
22/01/2018,20 00 00,1.249
22/01/2018,21 00 00,1.984
22/01/2018,22 00 00,2.813
22/01/2018,23 00 00,3.517
23/01/2018,00 00 00,3.911
23/01/2018,01 00 00,3.893
23/01/2018,02 00 00,3.47
23/01/2018,03 00 00,2.754
23/01/2018,04 00 00,1.936
23/01/2018,05 00 00,1.233
23/01/2018,06 00 00,0.829
23/01/2018,07 00 00,0.83
23/01/2018,08 00 00,1.235
23/01/2018,09 00 00,1.941
23/01/2018,10 00 00,2.771
23/01/2018,11 00 00,3.523
23/01/2018,12 00 00,4.02
23/01/2018,13 00 00,4.15
23/01/2018,14 00 00,3.89
23/01/2018,15 00 00,3.31
23/01/2018,16 00 00,2.547
23/01/2018,17 00 00,1.778
23/01/2018,18 00 00,1.173
23/01/2018,19 00 00,0.861
23/01/2018,20 00 00,0.901
23/01/2018,21 00 00,1.269
23/01/2018,22 00 00,1.866
23/01/2018,23 00 00,2.539
24/01/2018,00 00 00,3.119
24/01/2018,01 00 00,3.465
24/01/2018,02 00 00,3.494
24/01/2018,03 00 00,3.21
24/01/2018,04 00 00,2.694
24/01/2018,05 00 00,2.088
24/01/2018,06 00 00,1.553
24/01/2018,07 00 00,1.229
24/01/2018,08 00 00,1.197
24/01/2018,09 00 00,1.461
24/01/2018,10 00 00,1.95
24/01/2018,11 00 00,2.539
24/01/2018,12 00 00,3.083
24/01/2018,13 00 00,3.453
24/01/2018,14 00 00,3.562
24/01/2018,15 00 00,3.385
24/01/2018,16 00 00,2.96
24/01/2018,17 00 00,2.378
24/01/2018,18 00 00,1.761
24/01/2018,19 00 00,1.239
24/01/2018,20 00 00,0.921
24/01/2018,21 00 00,0.872
24/01/2018,22 00 00,1.1
24/01/2018,23 00 00,1.55
25/01/2018,00 00 00,2.12
25/01/2018,01 00 00,2.678
25/01/2018,02 00 00,3.098
25/01/2018,03 00 00,3.287
25/01/2018,04 00 00,3.213
25/01/2018,05 00 00,2.907
25/01/2018,06 00 00,2.458
25/01/2018,07 00 00,1.986
25/01/2018,08 00 00,1.612
25/01/2018,09 00 00,1.427
25/01/2018,10 00 00,1.47
25/01/2018,11 00 00,1.724
25/01/2018,12 00 00,2.119
25/01/2018,13 00 00,2.554
25/01/2018,14 00 00,2.921
25/01/2018,15 00 00,3.126
25/01/2018,16 00 00,3.108
25/01/2018,17 00 00,2.856
25/01/2018,18 00 00,2.409
25/01/2018,19 00 00,1.851
25/01/2018,20 00 00,1.296
25/01/2018,21 00 00,0.865
25/01/2018,22 00 00,0.662
25/01/2018,23 00 00,0.743
26/01/2018,00 00 00,1.104
26/01/2018,01 00 00,1.677
26/01/2018,02 00 00,2.339
26/01/2018,03 00 00,2.946
26/01/2018,04 00 00,3.366
26/01/2018,05 00 00,3.51
26/01/2018,06 00 00,3.357
26/01/2018,07 00 00,2.957
26/01/2018,08 00 00,2.417
26/01/2018,09 00 00,1.874
26/01/2018,10 00 00,1.459
26/01/2018,11 00 00,1.268
26/01/2018,12 00 00,1.339
26/01/2018,13 00 00,1.645
26/01/2018,14 00 00,2.102
26/01/2018,15 00 00,2.585
26/01/2018,16 00 00,2.963
26/01/2018,17 00 00,3.121
26/01/2018,18 00 00,2.992
26/01/2018,19 00 00,2.579
26/01/2018,20 00 00,1.955
26/01/2018,21 00 00,1.252
26/01/2018,22 00 00,0.637
26/01/2018,23 00 00,0.269
27/01/2018,00 00 00,0.259
27/01/2018,01 00 00,0.637
27/01/2018,02 00 00,1.339
27/01/2018,03 00 00,2.221
27/01/2018,04 00 00,3.089
27/01/2018,05 00 00,3.747
27/01/2018,06 00 00,4.05
27/01/2018,07 00 00,3.94
27/01/2018,08 00 00,3.455
27/01/2018,09 00 00,2.726
27/01/2018,10 00 00,1.937
27/01/2018,11 00 00,1.28
27/01/2018,12 00 00,0.912
27/01/2018,13 00 00,0.912
27/01/2018,14 00 00,1.266
27/01/2018,15 00 00,1.87
27/01/2018,16 00 00,2.555
27/01/2018,17 00 00,3.126
27/01/2018,18 00 00,3.41
27/01/2018,19 00 00,3.302
27/01/2018,20 00 00,2.794
27/01/2018,21 00 00,1.983
27/01/2018,22 00 00,1.055
27/01/2018,23 00 00,0.239
28/01/2018,00 00 00,-0.243
28/01/2018,01 00 00,-0.243
28/01/2018,02 00 00,0.276
28/01/2018,03 00 00,1.223
28/01/2018,04 00 00,2.395
28/01/2018,05 00 00,3.528
28/01/2018,06 00 00,4.363
28/01/2018,07 00 00,4.714
28/01/2018,08 00 00,4.51
28/01/2018,09 00 00,3.817
28/01/2018,10 00 00,2.82
28/01/2018,11 00 00,1.772
28/01/2018,12 00 00,0.932
28/01/2018,13 00 00,0.5
28/01/2018,14 00 00,0.569
28/01/2018,15 00 00,1.102
28/01/2018,16 00 00,1.943
28/01/2018,17 00 00,2.854
28/01/2018,18 00 00,3.575
28/01/2018,19 00 00,3.889
28/01/2018,20 00 00,3.677
28/01/2018,21 00 00,2.957
28/01/2018,22 00 00,1.882
28/01/2018,23 00 00,0.711
29/01/2018,00 00 00,-0.257
29/01/2018,01 00 00,-0.757
29/01/2018,02 00 00,-0.627
29/01/2018,03 00 00,0.141
29/01/2018,04 00 00,1.395
29/01/2018,05 00 00,2.856
29/01/2018,06 00 00,4.188
29/01/2018,07 00 00,5.083
29/01/2018,08 00 00,5.341
29/01/2018,09 00 00,4.918
